"PartitionKey","RowKey","Timestamp","DeviceId","SensorId","Type","Unit","Value","ReceivedAtUtc"
"hivewatch-esp32-board2","202607111941203994785-6ebc85f2e22f4030950730b8d52da875","2026-07-11T19:41:20.495415+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.5","2026-07-11T19:41:20.399478+00:00"
"hivewatch-esp32-board2","202607111946201736111-4ed28fe41df149dbaa3ca9692cfb37d6","2026-07-11T19:46:20.276376+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.5","2026-07-11T19:46:20.173611+00:00"
"hivewatch-esp32-board2","202607111951210994459-6848940a6a1b41c6bbf597062835d873","2026-07-11T19:51:21.203768+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.5","2026-07-11T19:51:21.099445+00:00"
"hivewatch-esp32-board2","202607111956208440714-86cbd31e09e643709e27cb35270d1d67","2026-07-11T19:56:20.950666+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.5","2026-07-11T19:56:20.844071+00:00"
"hivewatch-esp32-board2","202607112001226872221-fdf044199a5447b1bcd0bd3d66512581","2026-07-11T20:01:22.795687+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.5","2026-07-11T20:01:22.687222+00:00"
"hivewatch-esp32-board2","202607112006235011726-99d1b40933374a6e91a1d868b9a7d453","2026-07-11T20:06:23.595357+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.56","2026-07-11T20:06:23.501172+00:00"
"hivewatch-esp32-board2","202607112011242459966-34f11c2b798b4141868ab41131f6fa31","2026-07-11T20:11:24.353616+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.56","2026-07-11T20:11:24.245996+00:00"
"hivewatch-esp32-board2","202607112016250938194-4cd69dc76e5b4b6aa3b20a5e63f36adf","2026-07-11T20:16:25.189218+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.5","2026-07-11T20:16:25.093819+00:00"
"hivewatch-esp32-board2","202607112021259264674-936213d1624a49bcb52dd97f000056e9","2026-07-11T20:21:26.019947+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.44","2026-07-11T20:21:25.926467+00:00"
"hivewatch-esp32-board2","202607112026267306977-23f5291908434a64a3d27b69b07061a8","2026-07-11T20:26:26.822792+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.37","2026-07-11T20:26:26.730697+00:00"
